Českárepublika,-5.8,-2.0,3.3,5.9,13.0,17.6,14.6,15.5,12.6,6.6,2.5,2.6,7.2
PrahaaStředočeský,-5.5,-1.3,3.9,6.8,13.8,18.5,15.2,16.2,13.1,6.9,3.1,3.4,7.8
Jihočeský,-6.1,-1.7,3.0,4.9,12.1,16.8,14.2,14.6,11.9,6.1,1.8,2.5,6.7
Plzeňský,-6.1,-2.0,2.8,5.2,12.1,16.8,14.4,14.8,11.9,6.0,1.9,2.5,6.7
Karlovarský,-6.6,-3.0,1.9,4.4,11.1,16.0,13.6,14.0,11.0,5.6,1.3,1.7,5.9
Ústecký,-5.8,-2.2,3.2,6.4,13.0,18.0,14.7,15.9,12.5,6.2,2.7,2.7,7.2
Liberecký,-6.0,-2.6,2.5,5.5,12.6,17.2,13.5,15.0,11.7,6.6,2.2,1.9,6.7
Královéhradecký,-5.8,-2.1,2.8,6.0,13.4,17.8,14.0,15.5,12.4,6.9,2.4,2.2,7.1
Pardubický,-5.8,-1.9,3.1,6.1,13.6,17.9,14.4,15.7,12.8,7.0,2.6,2.5,7.3
Vysočina,-6.3,-2.3,2.9,5.3,12.8,17.3,14.0,15.0,12.5,6.4,2.0,2.1,6.8
Jihomoravský,-5.2,-1.0,4.7,7.3,14.7,18.9,16.0,16.9,14.1,7.7,3.6,2.9,8.4
Olomoucký,-5.7,-2.5,3.1,5.9,13.3,17.5,14.6,15.7,12.8,6.6,2.7,2.2,7.2
Zlínský,-5.2,-1.7,4.2,6.3,13.3,17.5,15.0,15.7,12.9,7.1,3.1,2.8,7.6
Moravskoslezský,-5.5,-3.0,3.2,5.5,13.0,17.0,14.5,15.5,12.5,6.4,2.6,2.4,7.0
